TRIP
DATE 2011-07-06 
DECLINATION     0.00
DATA
1.370		289.96	75.93	2.301	>
1.370		200.28	-67.51	1.697	>
1.370	1.371	292.94	-38.46	15.173	>
1.371		224.49	-17.48	2.494	>
1.371		8.01	-4.28	4.688	>
1.371		351.92	70.11	1.463	>
1.371		281.84	-71.54	2.155	>
1.371	1.372	267.10	-33.47	14.510	>
1.372		144.78	0.80	8.987	>
1.372		317.05	1.45	1.149	>
1.372		147.03	87.42	1.960	>
1.372		302.94	-63.58	1.042	>
1.372	1.373	231.30	-3.14	2.699	>
1.369		116.57	43.57	4.060	>
1.369		279.02	-4.25	11.699	>
1.369		238.96	78.73	13.154	>
1.369		294.26	-49.24	1.122	>
1.369	1.374	204.21	36.50	19.781	>
1.374		132.34	44.63	3.924	>
1.374		138.54	24.53	1.522	>
1.374		315.90	25.95	1.508	>
1.374		134.36	33.14	2.736	>
1.374	1.375	204.87	4.10	4.866	>

PLAN
STATIONS
-26.999	52.336	
0.000	0.000	1.287
1.690	2.727	1.288
8.583	8.025	1.289
13.561	13.326	1.290
23.768	21.393	1.291
40.001	25.604	1.292
53.180	23.488	1.293
77.208	33.384	1.294
95.487	31.830	1.295
117.306	40.535	1.296
144.304	56.389	1.297
151.021	70.024	1.298
166.958	80.237	1.299
157.740	81.532	1.300
201.775	81.589	1.301
231.691	90.577	1.302
244.060	102.460	1.303
180.773	82.181	1.304
184.461	89.249	1.305
189.525	88.199	1.306
198.093	90.498	1.307
213.243	87.085	1.308
163.903	96.543	1.309
171.547	103.034	1.310
176.227	103.097	1.311
183.659	105.514	1.312
174.092	109.054	1.313
174.074	112.295	1.314
179.920	114.824	1.315
179.396	119.702	1.316
175.016	118.404	1.317
13.504	43.974	1.318
13.567	59.038	1.319
11.825	61.604	1.320
29.148	61.988	1.321
26.172	89.121	1.322
28.142	106.441	1.323
38.192	109.419	1.324
51.174	120.812	1.325
62.986	118.679	1.326
70.754	131.108	1.327
82.666	134.883	1.328
85.047	155.100	1.329
89.659	168.257	1.330
89.120	172.872	1.331
107.894	192.915	1.332
130.178	224.669	1.333
149.026	245.838	1.334
158.087	268.357	1.335
162.291	275.611	1.336
107.559	163.818	1.337
36.083	130.388	1.338
25.822	126.049	1.339
34.874	131.089	1.340
32.100	134.568	1.341
8.974	109.848	1.342
1.513	107.708	1.343
-13.348	106.660	1.344
-17.241	106.240	1.345
-20.543	106.868	1.346
-16.011	103.159	1.347
-9.501	92.794	1.348
-22.808	109.820	1.349
-23.819	112.660	1.350
-31.166	119.626	1.351
-32.923	120.034	1.352
-35.848	124.765	1.353
-45.780	129.618	1.354
-57.187	127.159	1.355
6.381	25.571	1.356
8.759	29.643	1.357
1.317	50.381	1.358
-6.279	64.600	1.359
-14.246	77.495	1.360
-16.265	91.960	1.361
-22.881	96.711	1.362
-29.303	108.672	1.363
-28.916	116.371	1.364
-40.883	127.408	1.365
-51.165	122.365	1.366
-64.552	123.797	1.367
-17.233	66.328	1.368
-26.331	52.035	1.369
-39.372	59.761	1.370
-50.314	64.391	1.371
-62.402	63.779	1.372
-64.505	62.094	1.373
-32.851	37.533	1.374
-34.892	33.129	1.375
62.330	190.000	1.332
59.700	-23.700	1.291
128.000	18.500	1.296
SHOTS
34.874	131.089	32.100	134.568
36.083	130.388	34.874	131.089
34.874	131.089	34.236	132.339
34.874	131.089	36.244	132.744
34.874	131.089	31.401	129.124
34.874	131.089	36.154	132.467
-32.851	37.533	-34.892	33.129
-26.331	52.035	-32.851	37.533
-32.851	37.533	-30.787	35.652
-32.851	37.533	-31.934	36.495
-32.851	37.533	-33.795	38.507
-32.851	37.533	-31.213	35.931
-26.331	52.035	-26.999	52.336
-62.402	63.779	-64.505	62.094
-50.314	64.391	-62.402	63.779
-62.402	63.779	-57.220	56.438
-62.402	63.779	-63.185	64.620
-62.402	63.779	-62.354	63.705
-62.402	63.779	-62.791	64.031
-39.372	59.761	-50.314	64.391
-50.314	64.391	-51.981	62.694
-50.314	64.391	-49.663	69.020
-50.314	64.391	-50.384	64.884
-50.314	64.391	-50.982	64.531
-26.331	52.035	-39.372	59.761
-39.372	59.761	-43.272	55.939
-39.372	59.761	-38.193	61.825
-39.372	59.761	-39.898	59.952
-39.372	59.761	-39.597	59.152
-17.233	66.328	-26.331	52.035
-26.331	52.035	-22.773	49.934
-26.331	52.035	-32.064	59.870
-26.331	52.035	-27.767	52.661
-26.331	52.035	-26.630	51.638
-26.331	52.035	-23.700	50.719
-26.331	52.035	-37.853	53.865
-26.331	52.035	-28.533	50.710
-14.246	77.495	-17.233	66.328
-17.233	66.328	-14.747	65.373
-17.233	66.328	-25.916	66.836
-17.233	66.328	-18.063	64.427
-17.233	66.328	-17.266	66.264
-51.165	122.365	-64.552	123.797
-64.552	123.797	-64.313	123.162
-64.552	123.797	-64.285	123.185
-64.552	123.797	-64.296	123.668
-64.552	123.797	-64.384	123.676
-40.883	127.408	-51.165	122.365
-51.165	122.365	-50.925	121.766
-51.165	122.365	-51.047	125.963
-51.165	122.365	-50.691	126.087
-51.165	122.365	-50.700	122.436
-28.916	116.371	-40.883	127.408
-40.883	127.408	-40.511	114.763
-40.883	127.408	-41.104	129.012
-40.883	127.408	-43.208	128.181
